Date,realized_return,VaR_0.99,ES_0.99,VaR_0.99_$,ES_0.99_$
2013-01-07,-0.0058993725408444,0.0503482505431915,0.06450438559146267,50348.250543191505,64504.38559146267
2013-01-08,0.0026877170393911,0.04877975304990179,0.06249488246047288,48779.753049901796,62494.88246047288
2013-01-09,-0.0157526506713872,0.047903543263474485,0.06137231368572995,47903.54326347449,61372.31368572995
2013-01-10,0.012319977165135,0.04693074296241822,0.06012599658343074,46930.74296241822,60125.996583430744
2013-01-11,-0.0061504836531688,0.04613428236847783,0.05910559963406975,46134.28236847783,59105.59963406975
2013-01-14,-0.036303361462555,0.045605192941546795,0.05842774910224544,45605.1929415468,58427.74910224544
2013-01-15,-0.0320583281763368,0.04523290763983379,0.05795079043153397,45232.90763983379,57950.79043153397
2013-01-16,0.040670199875844,0.04432965407628615,0.05679357413262883,44329.65407628615,56793.57413262883
2013-01-17,-0.0067607374450217,0.043819607405946065,0.056140120502397244,43819.607405946066,56140.12050239724
2013-01-18,-0.0053451759670891,0.04320383248217753,0.05535121159907308,43203.83248217753,55351.21159907308
2013-01-22,0.0094944728954181,0.042649042404424554,0.054640434308668606,42649.04240442455,54640.434308668606
2013-01-23,0.0181403148681695,0.042500135540548725,0.05444966013754974,42500.13554054873,54449.66013754974
2013-01-24,-0.131884855749812,0.04255245229099445,0.05451668649511402,42552.45229099445,54516.68649511402
2013-01-25,-0.0238561398080941,0.04733051789433632,0.08354640438874002,47330.51789433632,83546.40438874002
2013-01-28,0.0223676405378955,0.047106739428086644,0.08315139738128398,47106.73942808664,83151.39738128398
2013-01-29,0.0185888204975745,0.046907874583240396,0.08280036714782403,46907.874583240395,82800.36714782403
2013-01-30,-0.003147103747816,0.04708228027494945,0.08310822282098085,47082.28027494945,83108.22282098085
2013-01-31,-0.0029375984725226,0.046674910075428774,0.08238914521652581,46674.91007542877,82389.14521652581
2013-02-01,-0.0041141442280453,0.04696681290914572,0.08290440330523675,46966.81290914572,82904.40330523676
2013-02-04,-0.0252258122056858,0.046784602875643906,0.08258277164304763,46784.602875643905,82582.77164304763
2013-02-05,0.0344860018308172,0.04697986331820899,0.08292743949418091,46979.86331820899,82927.43949418092
2013-02-06,-0.0010709899612973,0.05684871866551233,0.1003476456609604,56848.71866551233,100347.64566096039
2013-02-07,0.0293003423223664,0.05584493306720053,0.09857579356115088,55844.93306720053,98575.79356115089
2013-02-08,0.014334724990925,0.0550253868631503,0.0971291552900106,55025.3868631503,97129.15529001059
2013-02-11,0.0103673122228592,0.05422512487106957,0.09571655692891563,54225.12487106957,95716.55692891563
2013-02-12,-0.0253851115981256,0.05335518349503025,0.09418096261829907,53355.18349503025,94180.96261829908
2013-02-13,-0.0019041904680961,0.05330274558235433,0.09408840079449854,53302.74558235433,94088.40079449854
2013-02-14,-0.0008998630636418,0.05259099892657508,0.09283204703858113,52590.99892657508,92832.04703858112
2013-02-15,-0.0138763940389688,0.05183444057708801,0.09149659303085118,51834.44057708801,91496.59303085119
2013-02-19,-0.0003696419656749,0.05184325768233178,0.09151215671941844,51843.25768233178,91512.15671941843
2013-02-20,-0.0245160466403967,0.05103233147112351,0.09008073419997159,51032.33147112351,90080.73419997159
2013-02-21,-0.0062354550163006,0.050905983092719334,0.08985770784856799,50905.98309271933,89857.707848568
2013-02-22,0.0105924775685486,0.050253911773369846,0.08870669119883912,50253.911773369844,88706.69119883912
2013-02-25,-0.0179277195537262,0.04991535346003253,0.08810907826296556,49915.35346003253,88109.07826296556
2013-02-26,0.0138378470387933,0.049905932614297245,0.08809244886986996,49905.93261429724,88092.44886986996
2013-02-27,-0.0098483564067128,0.049726467298307916,0.08777566210035119,49726.467298307914,87775.66210035118
2013-02-28,-0.0071560522789485,0.049627749643654594,0.08760140867015659,49627.74964365459,87601.40867015658
2013-03-01,-0.0250739228833586,0.049525869364007824,0.08742157266959542,49525.86936400783,87421.57266959542
2013-03-04,-0.0245040233921104,0.04920099725995515,0.08684811821806376,49200.99725995515,86848.11821806377
2013-03-05,0.0260590014377991,0.04912743391382194,0.08671826641551315,49127.43391382194,86718.26641551315
2013-03-06,-0.0127918251162101,0.049162598548043085,0.08678033796853059,49162.59854804308,86780.33796853058
2013-03-07,0.0114925081676821,0.04936273051545083,0.08713360488856492,49362.73051545083,87133.60488856492
2013-03-08,0.002643852838198,0.053082128521008104,0.09369897420374296,53082.128521008104,93698.97420374295
2013-03-11,0.0141448854850086,0.05281450993076886,0.09322658193007322,52814.50993076886,93226.58193007321
2013-03-12,-0.0217946778126369,0.05233719689441016,0.09238404333701011,52337.19689441016,92384.04333701011
2013-03-13,-0.0001870219385409,0.05217192325298551,0.09209230728391878,52171.92325298551,92092.30728391878
2013-03-14,0.0096419649050891,0.05226724086146101,0.09226055905502424,52267.24086146101,92260.55905502423
2013-03-15,0.0254762297109759,0.05164144982612819,0.09115593157096664,51641.44982612819,91155.93157096664
2013-03-18,0.0268196777335163,0.05141853918870243,0.09076245642880783,51418.53918870243,90762.45642880783
2013-03-19,-0.002702188282475,0.051175945153289826,0.09033423674547107,51175.945153289824,90334.23674547108
2013-03-20,-0.0053167228238019,0.051113402107913174,0.09022383764583715,51113.40210791317,90223.83764583715
2013-03-21,0.001436392759558,0.05118308808923003,0.09034684524081683,51183.08808923003,90346.84524081684
2013-03-22,0.0200742494907361,0.05141816667139497,0.09076179887247852,51418.16667139497,90761.79887247852
2013-03-25,0.003608948958212,0.05086957918169662,0.08979344876147273,50869.57918169662,89793.44876147273
2013-03-26,-0.0052770778830993,0.05080218370482143,0.08967448429593368,50802.18370482143,89674.48429593368
2013-03-27,-0.0198425133254069,0.05041041638827527,0.08898294843047945,50410.41638827527,88982.94843047945
2013-03-28,-0.0210574384453198,0.05034321166492956,0.0888643206773243,50343.211664929564,88864.3206773243
2013-04-01,-0.0315544206742665,0.049912458051202084,0.08810396737452021,49912.458051202084,88103.96737452022
2013-04-02,0.0020489858067698,0.0499343381033258,0.08814258938340792,49934.3381033258,88142.58938340792
