Date,log_return,egarch_daily_vol,egarch_annual_vol,realized_21d_annual_vol
2012-01-04,0.00535973629853058,0.012195246508067213,0.1935935366248482,0.17875425971848335
2012-01-05,0.011040408307423118,0.012706678104075487,0.20171226151880067,0.18000083976592415
2012-01-06,0.010399881367319919,0.013271277438102923,0.21067499808817639,0.17918879782136693
2012-01-09,-0.0015872060721502494,0.013710667612123504,0.2176501008620795,0.1776297157914527
2012-01-10,0.003573774525370406,0.014129481618634067,0.2242985671029847,0.17763051132840707
2012-01-11,-0.00163185225488184,0.014535728663868493,0.2307475390182553,0.17804515896550735
2012-01-12,-0.0027484915801929202,0.014793175744456693,0.23483438472423118,0.1771514585146992
2012-01-13,-0.003756806137207148,0.015270203373875302,0.2424069635799211,0.1744763724648841
2012-01-17,0.011580660734533777,0.015268237248522864,0.24237575230754752,0.1482410347670118
2012-01-18,0.010330409810687757,0.01542613500338403,0.24488230145917603,0.14581513617482847
2012-01-19,-0.0031742486795973386,0.01566094807938229,0.24860984348124107,0.14918752485870518
2012-01-20,-0.017570223513854732,0.01579723295356322,0.25077329878849586,0.1692318893565185
2012-01-23,0.0167748608791584,0.01591853067935119,0.2526988404906919,0.13555869425615127
2012-01-24,-0.01651339346647433,0.015919975212308982,0.25272177174049365,0.15242465978246766
2012-01-25,0.060567465930480326,0.016076085442153897,0.2551999448121903,0.2517477297614207
2012-01-26,-0.00455528730310264,0.016072533418757765,0.2551435581888468,0.2528596236584418
2012-01-27,0.005942580947067482,0.0160966428544102,0.2555262836147656,0.2526322232369625
2012-01-30,0.012729314728736856,0.016233655765999486,0.25770129615758636,0.24867415157095096
2012-01-31,0.007630630309244177,0.01628352201730322,0.2584928983561747,0.24876753822030434
2012-02-01,-0.000635569620978305,0.01618582986755302,0.2569420835564809,0.24887313461216826
2012-02-02,-0.0023480703225388596,0.016199830354816678,0.25716433440168107,0.24779147754177655
2012-02-03,0.009969096509186266,0.01299189755177559,0.20623997988496268,0.24842950962541976
2012-02-06,0.009289490459755441,0.013586945690659411,0.21568607624655317,0.24797102023776124
2012-02-07,0.010420449814647856,0.013991659266790767,0.22211070509448422,0.24797671047679276
2012-02-08,0.016605368006380416,0.014247899669841371,0.22617839538839735,0.24991941747339833
2012-02-09,0.03400839774047635,0.014632381128703782,0.23228184933158885,0.26803481307631405
2012-02-10,0.0005067707475253523,0.01491706725707721,0.23680110151590422,0.26723990557486155
2012-02-13,0.018433805759523365,0.015119956311879226,0.24002186541236278,0.2671947808981274
2012-02-14,0.013556437747754037,0.01525569836419957,0.24217670368972166,0.26398770203770905
2012-02-15,-0.023413882890226796,0.015415250171756552,0.2447095101138813,0.28688004793321686
2012-02-16,0.009081238090022434,0.015521864655136981,0.24640196256897479,0.2867601241255232
2012-02-17,-0.00017928350594093907,0.015624192587800487,0.2480263681409928,0.2855417442280934
2012-02-21,0.025036508864802718,0.01566163380350277,0.24862072901418578,0.27614721267877695
2012-02-22,-0.0035217735117653833,0.015880474750818007,0.2520947213538292,0.27850097252352285
2012-02-23,0.006508475034437239,0.015978054066455517,0.2536437449675136,0.26324469501204845
2012-02-24,0.01159053464611138,0.016055727760387023,0.25487677663284064,0.18818774852090134
2012-02-27,0.006392109981750199,0.01607941544187159,0.25525280691890395,0.18313417785808492
2012-02-28,0.018187711902348705,0.01619250009113473,0.2570479700731993,0.18630193797347205
2012-02-29,0.013044750668808665,0.01617561250269259,0.25677988791763023,0.18639397708723923
2012-03-01,0.0037355499443774186,0.016207996394111166,0.25729396625669865,0.18713065574824417
2012-03-02,0.0013029022199607285,0.01634176503065054,0.2594174775297189,0.18606960582070298
2012-03-05,-0.022294353482714663,0.01640929728288245,0.2604895187990092,0.21175898699388218
2012-03-06,-0.005453889008179557,0.015980047570172653,0.25367539085795293,0.21621915873098177
2012-03-07,0.0008107433176267999,0.01619306476208912,0.2570569339467067,0.21698354451170285
2012-03-08,0.021068724418637576,0.016325677455358626,0.2591620951891963,0.22253505451611216
2012-03-09,0.005850776541594757,0.01633235368002799,0.25926807697022786,0.21972905383385113
2012-03-12,0.012450095772187865,0.016270878140100947,0.2582921830280656,0.1971176479497888
2012-03-13,0.028749970791204397,0.016265002749369612,0.25819891409168294,0.21205844744907887
2012-03-14,0.037112510158632,0.016403764546003237,0.2604016893238975,0.23382330752186925
2012-03-15,-0.006841977942217663,0.01641911393665018,0.26064535334646666,0.2379181034513449
2012-03-16,1.730081874810158e-05,0.016458807889902335,0.261275475319616,0.21319881626550205
2012-03-19,0.026175256951507915,0.01642169698136255,0.2606863579100724,0.22256625298317992
2012-03-20,0.008053126026485348,0.016246472230544252,0.25790475122482154,0.22030922841903078
