fit_date,forecast_start,forecast_end,mu,omega,alpha[1],gamma[1],beta[1],nu
2014-01-06,2014-01-07,2014-02-05,0.09281400794594422,0.15458305114331353,0.022681605429153776,-0.15735395304811575,0.8618879714478569,5.133609746617323
2014-02-05,2014-02-06,2014-03-07,0.07289327463612467,0.1362970281910334,0.01133466105194134,-0.13267663681410738,0.8777411874405007,5.086769364620613
2014-03-07,2014-03-10,2014-04-07,0.02775716415126101,0.10672082850998083,0.01011171305719869,-0.13971747145130184,0.901587267939146,4.990000855558447
2014-04-07,2014-04-08,2014-05-07,0.007072421593709372,0.07269650500022684,0.027777602258129884,-0.12217445904927889,0.9301676059091278,4.830013555333042
2014-05-07,2014-05-08,2014-06-06,0.03225351379729344,0.06117571196326802,0.027620398000664296,-0.10901116908002653,0.9412343054572112,4.512512288242085
2014-06-06,2014-06-09,2014-07-08,0.07273409670420895,0.053537378087804094,0.029790363576459016,-0.10971635165460246,0.944815301837492,4.7430901983199085
2014-07-08,2014-07-09,2014-08-06,0.06702934532182964,0.04195898923639379,0.039846772387452184,-0.09640164021281682,0.9570484973475315,4.633280242639774
2014-08-06,2014-08-07,2014-09-05,0.06256624143541752,0.046061557350076485,0.05309197935456958,-0.09255775900401826,0.953404239039641,4.718472087775228
2014-09-05,2014-09-08,2014-10-06,0.055255920365648525,0.007121602262453593,-0.08962340768354608,-0.10659300187458697,0.9832792515401864,5.84073918804966
2014-10-06,2014-10-07,2014-11-04,-1.848509902932262,-2.8501953640226363,-5.374899403941835,10.362002857565086,0.6413398359822432,3.3375897316652843
2014-11-04,2014-11-05,2014-12-04,0.07790023541256379,0.0021355344862315113,-0.07554785611660088,-0.056921806094221816,0.9884172906079753,4.924266508076646
2014-12-04,2014-12-05,2015-01-06,0.05809379218029783,0.003217844955350416,-0.06757515382752352,-0.03191298222437314,0.9875954638807851,4.989067288820456
2015-01-06,2015-01-07,2015-02-05,0.11158243527471845,0.026096278406060547,0.023663163197066458,-0.06594997226351139,0.9650984719332732,4.565609906092526
2015-02-05,2015-02-06,2015-03-09,0.12641163125384025,0.04096394381722321,0.06098193097212547,-0.0910270662434818,0.9482901452600839,5.004952563499737
2015-03-09,2015-03-10,2015-04-08,0.1483904238236508,0.04292895853652026,0.06646060209223564,-0.0814033169714127,0.9454867170433517,4.823149667697897
2015-04-08,2015-04-09,2015-05-07,0.1466338916602879,0.04232955215939396,0.06557361020094393,-0.08023008977651065,0.9437404215273985,5.029088624131573
2015-05-07,2015-05-08,2015-06-08,0.13773473097839276,0.1835427971233983,0.1530526201139491,-0.15977687775809307,0.7394424757322812,5.259096997703188
2015-06-08,2015-06-09,2015-07-08,0.13958308463509467,0.09194447033296155,0.08826221525766263,-0.11335145456069855,0.8720756806770017,5.032386439200363
2015-07-08,2015-07-09,2015-08-06,0.14551213074786068,0.22883312089645996,0.197445685267326,-0.15126049304613118,0.6604173403032395,5.06865685157609
2015-08-06,2015-08-07,2015-09-04,0.12613858265830513,0.35801272898706693,0.245516835257695,-0.1584562557380762,0.48013489581093194,5.1385325367662915
2015-09-04,2015-09-08,2015-10-06,0.10670119538979107,0.035910972873360834,0.0838069342009746,-0.08510975680408614,0.9561641456804274,4.945120045135536
2015-10-06,2015-10-07,2015-11-04,0.12118486137441029,0.03834520681777507,0.08951481549436559,-0.07580434066364734,0.9521950502609704,5.090499773293484
2015-11-04,2015-11-05,2015-12-04,0.10168015462464984,0.032128571020933104,0.07669598702092473,-0.07856228739001823,0.9632443584186128,4.954314547936021
2015-12-04,2015-12-07,2016-01-06,0.08761642454361022,0.032883574000102896,0.07292355160348135,-0.08468872790404662,0.9638429332526023,4.655477256489408
2016-01-06,2016-01-07,2016-02-05,0.08241588810734682,0.03366022055377413,0.0749614919909096,-0.08667470736807355,0.9624776856789256,4.855593308568583
2016-02-05,2016-02-08,2016-03-08,0.08630573819529841,0.01718481367304463,0.02178876297912598,-0.08374038145297359,0.9819034219812048,5.856756629423943
2016-03-08,2016-03-09,2016-04-07,0.08174814265732529,0.023013130342474236,0.023385152516146118,-0.0930599985579918,0.9750548597011625,5.364036650319457
2016-04-07,2016-04-08,2016-05-06,0.10122856520676426,0.027380032668688038,0.03560288965092305,-0.10864379753551744,0.9675024626677322,5.380230236970381
2016-05-06,2016-05-09,2016-06-07,0.0830484318758422,0.028315613101620243,0.02569666666543219,-0.09091972306750279,0.9671166534477135,6.295929060276531
2016-06-07,2016-06-08,2016-07-07,0.06277010469567901,0.03381629854206182,0.047512829850288436,-0.09084281674797563,0.9621651938849565,5.816412108550775
2016-07-07,2016-07-08,2016-08-05,0.05230380748906846,0.046269311329037915,0.06226891378143328,-0.09873820782707317,0.9492348849770001,5.60652907871215
2016-08-05,2016-08-08,2016-09-06,0.08886036965629066,0.060422923491292836,0.06621947840686004,-0.11623700168298981,0.9346391547618655,5.142248817820227
2016-09-06,2016-09-07,2016-10-05,0.04540026882664035,0.048793616132334565,0.0940893060963373,-0.11656616853629362,0.9471325399121056,5.483472583240986
2016-10-05,2016-10-06,2016-11-03,0.05043905310459194,0.0641992065905917,0.10956629612326617,-0.12740645269617237,0.9307273906695865,5.946026240073813
2016-11-03,2016-11-04,2016-12-05,0.028949363907759696,0.05714212957180766,0.12735206454627704,-0.11944569275599257,0.9415218327694687,5.338100490493447
2016-12-05,2016-12-06,2017-01-05,-0.0031088424635599436,0.03613724845645664,0.09671610709104236,-0.12025422253900085,0.9625429503800561,5.314764549957222
2017-01-05,2017-01-06,2017-02-06,0.03340530207042288,0.03522166609114331,0.15736757991036313,-0.12486938900096223,0.9614199257148132,4.97459997653037
2017-02-06,2017-02-07,2017-03-08,0.054191662138164204,0.04175758902708892,0.16639863982591496,-0.1421517604965955,0.9573402401661609,4.166019696385005
2017-03-08,2017-03-09,2017-04-06,0.07442987942234235,0.03766502507818012,0.15755957590694966,-0.15223235348118405,0.9576486581004181,4.130657365269073
2017-04-06,2017-04-07,2017-05-08,0.0759995317702738,0.041459375098479766,0.16439628019203134,-0.15816549519281645,0.9588771302338055,3.838546939616162
2017-05-08,2017-05-09,2017-06-07,0.08018591047579898,0.03143030784021804,0.1172153801493995,-0.1383882261548094,0.9671357112284689,3.778742528970602
2017-06-07,2017-06-08,2017-07-07,0.08715203346847887,0.03482608584995505,0.11239270110833291,-0.13947080222016175,0.9680102045399214,3.4683713479005216
2017-07-07,2017-07-10,2017-08-07,0.08575068200264527,0.027060704120271607,0.08864660040313407,-0.12502309861862473,0.9706083256603942,3.6025581892444145
2017-08-07,2017-08-08,2017-09-06,0.1007306991826674,0.030726190343089547,0.11188827138213504,-0.13042422457884525,0.9666013710143696,3.5367240646977276
2017-09-06,2017-09-07,2017-10-05,0.11120138049472005,0.034002012501842364,0.1407075494564496,-0.13049924886592706,0.9603694430492815,3.6333324043550177
2017-10-05,2017-10-06,2017-11-03,0.09863994865191716,0.04041705583697267,0.1514769414885157,-0.14203340808590684,0.9535430877491148,3.5779732768573242
2017-11-03,2017-11-06,2017-12-05,0.10081443813103241,0.05441759483363128,0.18339901849050527,-0.14667011959276055,0.9459548385541686,3.3339858564304383
2017-12-05,2017-12-06,2018-01-05,0.1025948413273601,0.04847948019020076,0.17682061681399724,-0.14279697460948731,0.9442082506749916,3.4756375974772613
2018-01-05,2018-01-08,2018-02-06,0.11857759937629739,0.04293029293540837,0.16054216427008844,-0.1219737616723567,0.9437652296613687,3.4262007826577343
2018-02-06,2018-02-07,2018-03-08,0.11101469466895429,0.08854362087756679,0.23924543869380308,-0.17256683322384678,0.8747509307102582,3.3486719512142478
2018-03-08,2018-03-09,2018-04-09,0.11266521884320521,0.07804746731589729,0.24171056414652425,-0.18004346964428183,0.890983782960596,3.409978813406485
2018-04-09,2018-04-10,2018-05-08,0.09836728354283047,0.06565985151967883,0.22242869954381442,-0.1864369479353433,0.9136220500731543,3.476023902864125
2018-05-08,2018-05-09,2018-06-07,0.11222129103024814,0.061072196370570576,0.22622523926398697,-0.19140792320266406,0.928700643618114,3.507136251671285
2018-06-07,2018-06-08,2018-07-09,0.1086301275588983,0.06462312885677322,0.2416159217557445,-0.20123707501443236,0.9238016620721239,3.4296253255012736
2018-07-09,2018-07-10,2018-08-07,0.10497675180447788,0.059260063737661905,0.2324990700071301,-0.19686861387512516,0.9285908535275978,3.5457365261622633
2018-08-07,2018-08-08,2018-09-06,0.09836058726538056,0.06343289040299657,0.22772666344317571,-0.18939930111129266,0.93304795816868,3.378722348757105
2018-09-06,2018-09-07,2018-10-05,0.1201417297345937,0.04518854776616526,0.18772839173581898,-0.15967557260661697,0.9333032936024104,3.745259495083474
2018-10-05,2018-10-08,2018-11-05,0.11994597155222855,0.05121603247662928,0.19021299527276844,-0.1660219227749751,0.9303723049409198,3.7760003441694328
2018-11-05,2018-11-06,2018-12-06,0.11880982728533836,0.05232713309605648,0.20748749563348665,-0.1665064375045908,0.9455800194920406,3.7662427907447276
2018-12-06,2018-12-07,2019-01-08,0.12719255426902729,0.03456950349778551,0.14247178761024196,-0.13649667310311764,0.9680602113640877,4.014916255145183
2019-01-08,2019-01-09,2019-02-07,0.10713412632865539,0.04572325602907649,0.14223215610511872,-0.1493338597477474,0.9662537638041764,3.5841912616616765
2019-02-07,2019-02-08,2019-03-11,0.10412471284343053,0.03575708783005,0.11933987206494165,-0.12611340832119206,0.9670146202772658,4.192946878066055
2019-03-11,2019-03-12,2019-04-09,0.08142312184357582,0.05528317684182805,0.15010683385689885,-0.1493104633881629,0.9503410283018678,3.8828362417290485
2019-04-09,2019-04-10,2019-05-09,0.11139678213886942,0.06487694636963302,0.1768719354629724,-0.13396891626546897,0.9414478049773574,3.924961127575886
2019-05-09,2019-05-10,2019-06-10,0.10251296182346106,0.07735461273909833,0.1932963349316686,-0.14898575764420627,0.9318373014711653,3.8911367164557773
2019-06-10,2019-06-11,2019-07-10,0.09783142680679785,0.07554045869774051,0.19708774630900647,-0.15211097449449704,0.9303131943093964,4.2404211174522315
2019-07-10,2019-07-11,2019-08-08,0.12067240877998489,0.07055905394013919,0.15934551199062183,-0.16867857293707286,0.9328997545732944,4.263299476016988
2019-08-08,2019-08-09,2019-09-09,0.09443314740885113,0.0686653280899428,0.15820581696096564,-0.1684152419647133,0.9332626098845026,4.66913847703758
2019-09-09,2019-09-10,2019-10-08,0.09285038981254806,0.06875401039988155,0.1386375590820363,-0.17320955862915022,0.934663908190335,4.716488512409307
2019-10-08,2019-10-09,2019-11-06,0.1133264051710935,0.06835379757488426,0.10861643840790125,-0.1815458538821782,0.9356899750092164,4.590274289380014
2019-11-06,2019-11-07,2019-12-06,0.1232463441107874,0.06390542600983129,0.09711407065234944,-0.18634524390595064,0.9362808645631162,4.734712155813312
2019-12-06,2019-12-09,2020-01-08,0.14328702761948034,0.06028221351409922,0.05427196618917001,-0.20344138001609643,0.935158351895159,4.888196678522452
2020-01-08,2020-01-09,2020-02-07,0.16924527286433824,0.05867535662844735,0.029626580938946035,-0.21315681235156206,0.9320987658322492,4.950167337754823
2020-02-07,2020-02-10,2020-03-10,0.19147038857800974,0.06813307996030195,0.08710177510161353,-0.18513850511936067,0.9275298933299222,5.115687215488322
2020-03-10,2020-03-11,2020-04-08,0.1768144237016248,0.07597624853808255,0.15305071296204298,-0.19537410302039848,0.9334114972660015,4.995710203189857
2020-04-08,2020-04-09,2020-05-08,0.19197419615046046,0.06858478536573025,0.20373805138640394,-0.18422061556858255,0.9486189241993912,4.93826097488992
2020-05-08,2020-05-11,2020-06-09,0.1860451038612125,0.058588521840337936,0.19520169642019172,-0.1621068745326943,0.9554336365114456,5.707799034212105
2020-06-09,2020-06-10,2020-07-09,0.20473240073279014,0.06543618780823834,0.18040643630632305,-0.17639895820586587,0.9486775984085798,5.603873383467283
2020-07-09,2020-07-10,2020-08-07,0.2484834287615192,0.0706044944870714,0.1965110625607585,-0.1590027830707306,0.9491869415109461,5.133186495649248
2020-08-07,2020-08-10,2020-09-08,0.26391332145071333,0.07811566664612213,0.22632403008494223,-0.13836780457920528,0.9491101525937586,5.0489179916061495
2020-09-08,2020-09-09,2020-10-07,0.2673916265569236,0.08439546614705576,0.2642311816924519,-0.12012812542330147,0.9520147095553234,4.78823350961385
2020-10-07,2020-10-08,2020-11-05,0.27529889796087115,0.07811368967719719,0.2495486912306211,-0.11517036174161734,0.9541730351380386,4.888391458096883
2020-11-05,2020-11-06,2020-12-07,0.2839389778566985,0.07905751900453988,0.2588491920044099,-0.11863540750612435,0.9541494600450372,4.93101480643929
2020-12-07,2020-12-08,2021-01-07,0.2884169024742265,0.08508034810461888,0.2646319110618354,-0.12739061627467707,0.9484831052631332,4.7238141077369
2021-01-07,2021-01-08,2021-02-08,0.2853345268988451,0.086578493599104,0.2804233702399816,-0.13716007795454724,0.9472805830886175,5.413230883565847
2021-02-08,2021-02-09,2021-03-10,0.2836756509998581,0.07851662113844901,0.26707393697861814,-0.1138829557165706,0.9530617902773193,5.610302621840003
2021-03-10,2021-03-11,2021-04-09,0.2702311174202356,0.0867875107602775,0.26372662198493313,-0.12564550804994437,0.946974513598444,6.030192480035674
2021-04-09,2021-04-12,2021-05-10,0.2614932831666388,0.0907196296172135,0.2559074602919324,-0.12768483021993846,0.9433080464029572,6.152344536583107
2021-05-10,2021-05-11,2021-06-09,0.2536233412161633,0.08029895540894082,0.24208285154113768,-0.1119425241310785,0.9485483420948705,6.514046776638651
2021-06-09,2021-06-10,2021-07-09,0.2448608068576953,0.07401609284937084,0.24636527418271,-0.1019094939494902,0.953354756943661,6.582362599247101
2021-07-09,2021-07-12,2021-08-09,0.2844477221924244,0.07260624181940904,0.25860435214904937,-0.09355804141957261,0.9529217869915978,6.799808323660862
2021-08-09,2021-08-10,2021-09-08,0.274618771563975,0.06466133492553883,0.25954575561956444,-0.08013868389149235,0.957211400893245,6.90806737830906
